80.0,31.0,1.0,1987.0,312.1,5.0,5.8,6.2,1.0,3.0,4
80.0,31.0,1.0,1981.0,312.1,5.8,5.8,6.2,1.0,3.0,2
94.0,31.0,1.0,1990.0,310.5,0.5,0.5,6.1,1.0,2.0,2
80.0,31.0,1.0,1984.0,312.1,5.0,5.2,6.2,1.0,3.0,2
79.0,32.0,1.0,1977.0,310.5,5.31,5.2,10.24,2.0,3.0,1
100.0,32.0,1.0,1977.0,312.1,5.8,5.8,6.2,1.0,3.0,4
130.0,31.0,3.0,1977.0,310.5,5.11,5.2,6.2,2.0,2.0,2
95.0,31.0,1.0,1978.0,310.5,5.3,5.2,6.1,2.0,2.0,2
100.0,31.0,1.0,1973.0,310.5,0.5,0.5,1.0,1.0,3.0,3
95.0,31.0,1.0,1973.0,310.5,5.3,5.2,6.2,1.0,3.0,2
130.0,31.0,1.0,1973.0,310.5,5.3,5.2,6.2,1.0,3.0,4
120.0,31.0,1.0,1973.0,310.5,0.5,0.5,1.0,1.0,3.0,4
98.0,31.0,1.0,1974.0,312.1,5.0,5.0,6.2,1.0,3.0,4
65.0,31.0,1.0,1975.0,312.1,5.0,5.8,6.2,1.0,3.0,1
74.0,31.0,1.0,1975.0,312.1,5.8,5.8,6.2,1.0,3.0,1
75.0,31.0,1.0,1975.0,311.2,5.8,8.8,6.2,1.0,3.0,2
140.0,31.0,2.0,1981.0,310.5,5.13,5.2,6.2,1.0,3.0,4
134.0,31.0,2.0,1992.0,310.5,0.5,0.5,6.2,1.0,3.0,4
